geocode_query,longitude,latitude,match_name,status_code,error_message
"Amazonas, Brazil, Brazil",-49.480907,-18.9872,"Avenida Amazonas, Pirapitinga, Ituiutaba - Minas Gerais, 38307, Brazil",200,NA
"Tainan, Taiwan, Taiwan",120.27658,23.29322,"太南, 730, 新營區, 臺南市, Tainan, Taiwan",200,NA
"Sabet, Nepal, Nepal",83.74673,28.339149,"Sabet, Dangsing, Kaski, Gandaki Province, Nepal",200,NA
"Ghandruk, Nepal, Nepal",83.80779,28.376865,"Ghandruk, Gandaki Province, Nepal",200,NA
"Majuwa, Nepal, Nepal",85.91512,27.44606,"Majuwa, Bagmati Province, Nepal",200,NA
"Humaita, Amazonas, Brazil, Brazil",-63.029472,-7.513365,"Humaitá, Amazonas, Brazil",200,NA
"Benjamin Constant, Amazonas, Brazil, Brazil",-68.9479,-3.461675,"Benjamin Constant, São Paulo de Olivença, Amazonas, Brazil",200,NA
"Boca do Acre, Amazonas, Brazil, Brazil",-67.39225,-8.755249,"Boca do Acre, Amazonas, Brazil",200,NA
"Coari, Amazonas, Brazil, Brazil",-63.143097,-4.086352,"Coari, Amazonas, Brazil",200,NA
"Manacapuru, Amazonas, Brazil, Brazil",-60.62264,-3.299789,"Manacapuru, Amazonas, Brazil",200,NA
"Manaus, Amazonas, Brazil, Brazil",-59.93594,-3.123867,"Beco Brasil, Mauazinho, Manaus - Amazonas, 69075, Brazil",200,NA
"Parintins, Amazonas, Brazil, Brazil",-56.736618,-2.628879,"Parintins, Amazonas, Brazil",200,NA
"Rio Preto da Eva, Amazonas, Brazil, Brazil",-59.700047,-2.698474,"Rio Preto da Eva, Amazonas, Brazil",200,NA
"Sao Gabriel da Cachoeira, Amazonas, Brazil, Brazil",-67.08773,-0.130859,"São Gabriel da Cachoeira, Amazonas, Brazil",200,NA
"Tefe, Amazonas, Brazil, Brazil",-64.70958,-3.347259,"Tefé, Amazonas, Brazil",200,NA
"Itacoatiara, Amazonas, Brazil, Brazil",-58.44632,-3.144335,"Itacoatiara, Amazonas, Brazil",200,NA
"Tabatinga, Amazonas, Brazil, Brazil",-69.93669,-4.228949,"Tabatinga, Amazonas, Brazil",200,NA
"Autazes, Amazonas, Brazil, Brazil",-59.13143,-3.579565,"Autazes, Amazonas, Brazil",200,NA
"Carauri, Amazonas, Brazil, Brazil",-66.896935,-4.877307,"Carauari, Amazonas, Brazil",200,NA
"Iranduba, Amazonas, Brazil, Brazil",-60.185024,-3.27888,"Iranduba, Amazonas, Brazil",200,NA
"Manicore, Amazonas, Brazil, Brazil",-61.290848,-5.804239,"Manicoré, Amazonas, Brazil",200,NA
"Sakhon Nakhon, Thailand, Thailand",104.150073,17.165122,"Sakon Nakhon, Thailand",200,NA
"Nakhon Phanom, Thailand, Thailand",104.785289,17.403213,"Nakhon Phanom, Thailand",200,NA
"Nong Khai, Thailand, Thailand",102.748228,17.882506,"Nong Khai, Thailand",200,NA
"Calicut, Kerala, India, India",75.800211,11.230057,Calicut ، 673003 Kozhikode، India,200,NA
"Pundibari, West Bengal, India, India",89.093956,26.527128,"Pundibari, Mathabhanga Ii, Cooch Behar, West Bengal, India",200,NA
"Kahikuchi, Assam, India, India",94.44345,27.362045,"Kahikuchi, Dhemaji, Dhemaji, Assam, India",200,NA
"Kothamangalam, Kerala, India, India",76.619665,10.064171,Kothamangalam Kerala 686666 India ، 686666 Kothamangalam، India,200,NA
"Pulpally, Kerala, India, India",76.16484,11.792577,"Pulpalli, Sulthan Bathery, Wayanad, Kerala, India",200,NA
"Thamarassery, Kerala, India, India",75.93632,11.414619,"Thamarassery, Kerala, India",200,NA
"Vythiri, Kerala, India, India",76.03896,11.556166,"Vythiri, Kerala, India",200,NA
Spain,-4.055685,41.294856,Spain,200,NA
"United States, United States (Continental)",-93.278889,43.566689,"US Route 65, Glenville, Minnesota 56036, United States",200,NA
Belgium,4.6335750000000004,50.438696,Belgium,200,NA
"Segunung, Indonesia, Indonesia",112.54039,-7.509607,"Menanggal, 61382, Mojosari, Mojokerto, East Java, Indonesia",200,NA
"Bandung, Indonesia, Indonesia",107.61036,-6.913611,"Bandung, West Java, Indonesia",200,NA
"Garut, Indonesia, Indonesia",107.90209,-7.215746,"Garut, West Java, Indonesia",200,NA
Israel,34.841999,31.847261,Israel,200,NA
"Nagasaki, Kyushu, Japan, Japan",129.87819,32.744102,"長崎市, Nagasaki, Japan",200,NA
"Okinawa, Japan, Japan",128.200727,27.941786,"Okinawa, Japan",200,NA
"Shizuoka, Japan, Japan",138.243612,35.192894,"Shizuoka, Japan",200,NA
Sweden,17.675409,64.964875,Sweden,200,NA
"Khon Kaen, Thailand, Thailand",102.83559,16.430392,"Khon Kaen, Thailand",200,NA
